user_id,show_title,genre,watch_duration,watch_date,rating
74,Show_4,Sci-Fi,41,2025-06-08 12:45:59.629236,2
9,Show_21,Fantasy,94,2025-05-17 12:45:59.629260,1
17,Show_31,Fantasy,172,2025-04-06 12:45:59.629267,5
18,Show_21,Horror,30,2025-06-05 12:45:59.629271,1
3,Show_32,Comedy,124,2025-02-20 12:45:59.629277,1
20,Show_8,Action,80,2024-07-14 12:45:59.629281,3
36,Show_7,Drama,69,2025-03-20 12:45:59.629286,5
25,Show_50,Sci-Fi,48,2025-04-21 12:45:59.629292,4
43,Show_17,Documentary,52,2025-06-05 12:45:59.629300,1
97,Show_46,Fantasy,171,2024-11-06 12:45:59.629303,2
79,Show_35,Fantasy,16,2024-11-18 12:45:59.629305,4
20,Show_32,Comedy,140,2025-01-25 12:45:59.629307,2
55,Show_8,Sci-Fi,41,2024-07-20 12:45:59.629309,5
89,Show_24,Action,14,2024-10-09 12:45:59.629311,1
28,Show_6,Fantasy,70,2024-07-13 12:45:59.629313,3
98,Show_18,Thriller,136,2024-12-05 12:45:59.629315,2
9,Show_23,Horror,59,2025-01-19 12:45:59.629317,3
85,Show_13,Documentary,47,2024-10-03 12:45:59.629319,4
27,Show_41,Horror,159,2024-08-18 12:45:59.629321,4
14,Show_46,Documentary,27,2024-12-26 12:45:59.629323,4
35,Show_4,Drama,139,2024-07-24 12:45:59.629325,2
12,Show_41,Thriller,78,2025-03-13 12:45:59.629326,4
45,Show_16,Horror,119,2025-04-29 12:45:59.629328,3
96,Show_2,Fantasy,174,2024-10-14 12:45:59.629330,5
91,Show_47,Romance,112,2025-07-05 12:45:59.629332,3
86,Show_13,Horror,84,2025-06-26 12:45:59.629335,2
24,Show_29,Documentary,96,2025-02-28 12:45:59.629336,2
14,Show_49,Romance,105,2025-04-02 12:45:59.629338,4
75,Show_46,Comedy,39,2025-01-17 12:45:59.629340,5
24,Show_39,Thriller,99,2024-09-04 12:45:59.629342,4
66,Show_3,Comedy,28,2025-06-11 12:45:59.629344,4
10,Show_23,Horror,161,2025-05-15 12:45:59.629346,5
43,Show_30,Horror,111,2025-05-09 12:45:59.629347,3
70,Show_36,Fantasy,162,2024-10-17 12:45:59.629350,4
55,Show_7,Comedy,25,2025-04-11 12:45:59.629352,2
91,Show_25,Documentary,44,2025-02-10 12:45:59.629354,3
48,Show_39,Sci-Fi,116,2025-05-31 12:45:59.629355,1
99,Show_48,Horror,102,2024-12-26 12:45:59.629357,4
69,Show_18,Thriller,179,2025-04-21 12:45:59.629359,1
23,Show_27,Romance,106,2024-10-29 12:45:59.629361,2
51,Show_14,Comedy,67,2025-05-29 12:45:59.629362,3
87,Show_17,Fantasy,97,2025-01-31 12:45:59.629364,3
64,Show_48,Documentary,58,2024-11-28 12:45:59.629366,2
8,Show_43,Thriller,61,2024-12-08 12:45:59.629368,1
16,Show_11,Documentary,107,2024-12-03 12:45:59.629370,4
35,Show_18,Drama,5,2025-03-21 12:45:59.629372,5
25,Show_38,Comedy,18,2025-03-28 12:45:59.629373,5
72,Show_6,Comedy,105,2024-07-29 12:45:59.629376,4
96,Show_44,Documentary,12,2025-01-30 12:45:59.629378,2
67,Show_46,Horror,50,2024-08-30 12:45:59.629379,1
72,Show_47,Horror,150,2025-04-04 12:45:59.629381,4
7,Show_48,Drama,114,2024-11-13 12:45:59.629383,2
80,Show_28,Documentary,119,2025-04-09 12:45:59.629385,1
71,Show_28,Sci-Fi,71,2025-04-01 12:45:59.629388,4
19,Show_50,Fantasy,96,2025-05-06 12:45:59.629391,5
61,Show_13,Drama,94,2025-02-10 12:45:59.629394,5
50,Show_6,Action,114,2024-12-23 12:45:59.629397,5
100,Show_35,Horror,5,2025-06-09 12:45:59.629399,3
72,Show_7,Romance,113,2024-11-29 12:45:59.629403,2
23,Show_49,Romance,86,2025-07-05 12:45:59.629406,4
21,Show_39,Sci-Fi,127,2024-10-31 12:45:59.629408,1
78,Show_33,Comedy,58,2025-01-23 12:45:59.629412,2
61,Show_33,Comedy,26,2025-05-03 12:45:59.629416,1
50,Show_8,Sci-Fi,28,2024-07-12 12:45:59.629418,1
96,Show_46,Thriller,125,2025-05-26 12:45:59.629419,4
28,Show_3,Action,56,2024-07-05 12:45:59.629421,5
6,Show_27,Thriller,68,2024-10-16 12:45:59.629423,4
12,Show_20,Drama,12,2025-07-04 12:45:59.629424,5
48,Show_24,Horror,20,2024-12-25 12:45:59.629426,3
61,Show_44,Action,81,2024-09-04 12:45:59.629427,2
45,Show_22,Thriller,166,2025-01-06 12:45:59.629429,3
66,Show_31,Horror,100,2025-01-15 12:45:59.629431,3
16,Show_28,Documentary,112,2024-10-29 12:45:59.629432,1
61,Show_27,Fantasy,133,2024-10-10 12:45:59.629435,4
90,Show_35,Comedy,120,2025-03-06 12:45:59.629437,3
56,Show_32,Thriller,73,2024-09-26 12:45:59.629438,1
49,Show_17,Action,39,2024-08-29 12:45:59.629440,1
24,Show_1,Drama,169,2024-07-31 12:45:59.629443,1
74,Show_4,Horror,156,2024-07-17 12:45:59.629445,1
48,Show_28,Drama,9,2025-06-26 12:45:59.629447,2
42,Show_39,Horror,70,2024-12-27 12:45:59.629448,5
10,Show_40,Action,96,2025-05-11 12:45:59.629450,4
43,Show_43,Thriller,71,2024-09-05 12:45:59.629452,5
44,Show_29,Action,143,2025-02-21 12:45:59.629453,1
79,Show_37,Romance,113,2025-01-20 12:45:59.629455,5
18,Show_3,Comedy,124,2024-07-26 12:45:59.629466,4
13,Show_43,Romance,78,2024-12-28 12:45:59.629468,5
31,Show_4,Horror,150,2025-03-19 12:45:59.629470,2
22,Show_1,Comedy,110,2024-07-05 12:45:59.629471,1
89,Show_43,Drama,98,2025-01-19 12:45:59.629473,1
66,Show_16,Sci-Fi,172,2024-10-31 12:45:59.629475,4
5,Show_19,Fantasy,125,2024-08-27 12:45:59.629477,3
45,Show_40,Horror,132,2024-11-29 12:45:59.629480,1
20,Show_38,Drama,100,2025-03-05 12:45:59.629483,2
36,Show_37,Action,150,2024-10-05 12:45:59.629486,1
37,Show_33,Fantasy,118,2025-04-12 12:45:59.629489,5
49,Show_18,Documentary,84,2024-12-31 12:45:59.629492,2
59,Show_13,Horror,5,2025-05-17 12:45:59.629495,2
50,Show_16,Thriller,80,2024-09-04 12:45:59.629498,2
10,Show_27,Documentary,164,2025-05-30 12:45:59.629503,2
50,Show_16,Thriller,26,2024-09-19 12:45:59.629506,3
10,Show_38,Sci-Fi,84,2025-05-09 12:45:59.629508,3
67,Show_39,Comedy,116,2024-08-06 12:45:59.629509,5
24,Show_1,Comedy,90,2025-01-28 12:45:59.629511,2
24,Show_8,Horror,121,2024-10-20 12:45:59.629513,5
47,Show_3,Romance,155,2025-05-04 12:45:59.629515,3
52,Show_46,Sci-Fi,75,2025-03-08 12:45:59.629518,1
76,Show_10,Fantasy,72,2024-10-17 12:45:59.629521,3
32,Show_24,Action,88,2024-10-18 12:45:59.629524,4
30,Show_3,Horror,37,2024-11-08 12:45:59.629527,4
12,Show_2,Drama,169,2025-04-22 12:45:59.629530,4
78,Show_35,Thriller,17,2025-05-21 12:45:59.629533,5
6,Show_17,Documentary,38,2025-02-05 12:45:59.629536,4
60,Show_12,Horror,33,2024-08-02 12:45:59.629539,2
39,Show_33,Documentary,40,2025-06-29 12:45:59.629542,2
79,Show_7,Romance,178,2025-01-27 12:45:59.629545,3
20,Show_50,Thriller,85,2025-04-06 12:45:59.629548,4
50,Show_15,Documentary,113,2025-01-20 12:45:59.629551,4
83,Show_16,Sci-Fi,175,2025-06-09 12:45:59.629553,5
3,Show_15,Action,177,2024-12-15 12:45:59.629554,5
80,Show_45,Fantasy,123,2025-03-07 12:45:59.629556,3
76,Show_31,Drama,125,2024-12-20 12:45:59.629558,4
16,Show_29,Sci-Fi,154,2025-03-19 12:45:59.629559,4
91,Show_3,Thriller,138,2024-09-03 12:45:59.629561,4
97,Show_3,Documentary,54,2024-08-21 12:45:59.629562,4
83,Show_30,Sci-Fi,11,2024-08-17 12:45:59.629565,3
24,Show_13,Documentary,80,2024-12-29 12:45:59.629568,5
62,Show_45,Horror,161,2024-12-26 12:45:59.629571,3
6,Show_20,Documentary,102,2025-01-01 12:45:59.629574,1
86,Show_18,Romance,149,2024-12-01 12:45:59.629578,2
3,Show_30,Sci-Fi,171,2024-09-16 12:45:59.629581,5
3,Show_25,Romance,32,2025-01-05 12:45:59.629584,5
91,Show_31,Documentary,12,2025-03-25 12:45:59.629587,4
17,Show_43,Drama,112,2025-04-02 12:45:59.629591,1
89,Show_41,Fantasy,81,2025-03-03 12:45:59.629592,4
78,Show_16,Romance,70,2025-05-28 12:45:59.629594,3
95,Show_25,Romance,70,2025-05-12 12:45:59.629595,2
45,Show_25,Comedy,101,2025-02-11 12:45:59.629597,2
50,Show_12,Thriller,8,2024-10-26 12:45:59.629599,3
22,Show_24,Sci-Fi,71,2024-08-02 12:45:59.629600,3
83,Show_28,Action,60,2025-01-27 12:45:59.629602,5
61,Show_19,Action,117,2024-12-06 12:45:59.629604,3
45,Show_35,Documentary,79,2024-10-22 12:45:59.629606,1
72,Show_36,Drama,114,2025-06-06 12:45:59.629609,3
93,Show_23,Thriller,32,2025-06-20 12:45:59.629612,4
10,Show_30,Documentary,143,2025-02-10 12:45:59.629615,2
83,Show_6,Horror,16,2024-10-06 12:45:59.629618,3
23,Show_8,Fantasy,106,2024-11-18 12:45:59.629621,1
56,Show_28,Documentary,41,2025-06-07 12:45:59.629625,3
30,Show_32,Fantasy,100,2024-09-07 12:45:59.629639,5
85,Show_50,Thriller,136,2025-01-29 12:45:59.629642,3
38,Show_40,Horror,104,2024-10-31 12:45:59.629645,4
64,Show_31,Action,146,2025-05-31 12:45:59.629648,1
70,Show_43,Fantasy,128,2025-03-03 12:45:59.629651,5
24,Show_11,Romance,37,2025-02-22 12:45:59.629654,4
87,Show_36,Thriller,16,2025-05-20 12:45:59.629657,3
87,Show_14,Comedy,42,2024-12-23 12:45:59.629670,1
73,Show_8,Fantasy,144,2025-01-04 12:45:59.629673,4
58,Show_28,Action,87,2024-11-26 12:45:59.629675,2
65,Show_12,Horror,13,2024-10-17 12:45:59.629676,4
21,Show_31,Sci-Fi,141,2025-05-01 12:45:59.629678,2
19,Show_14,Documentary,10,2025-03-19 12:45:59.629679,5
76,Show_22,Romance,151,2024-08-13 12:45:59.629681,5
1,Show_31,Drama,61,2024-11-23 12:45:59.629682,2
86,Show_41,Horror,147,2024-10-30 12:45:59.629684,1
98,Show_48,Fantasy,29,2025-03-08 12:45:59.629685,2
42,Show_21,Action,113,2025-05-15 12:45:59.629687,1
35,Show_49,Drama,30,2025-05-02 12:45:59.629688,5
57,Show_41,Thriller,25,2024-09-23 12:45:59.629690,3
76,Show_46,Comedy,164,2025-01-28 12:45:59.629693,2
12,Show_1,Romance,62,2025-04-28 12:45:59.629696,4
33,Show_21,Documentary,37,2024-09-30 12:45:59.629699,2
82,Show_45,Thriller,75,2025-04-23 12:45:59.629702,1
38,Show_7,Action,88,2024-09-17 12:45:59.629706,3
8,Show_2,Thriller,97,2024-11-22 12:45:59.629709,2
92,Show_12,Horror,156,2024-08-10 12:45:59.629712,2
21,Show_33,Comedy,11,2025-05-16 12:45:59.629723,1
81,Show_12,Comedy,144,2025-04-06 12:45:59.629725,1
17,Show_14,Horror,13,2025-05-03 12:45:59.629727,2
100,Show_37,Horror,152,2024-09-06 12:45:59.629728,5
96,Show_19,Sci-Fi,127,2025-01-04 12:45:59.629730,1
46,Show_38,Drama,87,2025-03-15 12:45:59.629732,4
32,Show_15,Action,150,2025-03-19 12:45:59.629733,2
31,Show_22,Drama,120,2024-10-30 12:45:59.629735,2
88,Show_10,Sci-Fi,125,2024-08-28 12:45:59.629738,1
14,Show_1,Documentary,105,2025-05-08 12:45:59.629741,4
15,Show_22,Thriller,177,2024-11-28 12:45:59.629744,3
46,Show_18,Action,61,2025-04-24 12:45:59.629748,3
65,Show_10,Thriller,27,2024-07-31 12:45:59.629768,5
42,Show_16,Comedy,50,2024-09-02 12:45:59.629771,1
14,Show_39,Comedy,56,2024-08-06 12:45:59.629774,5
96,Show_25,Action,94,2025-03-17 12:45:59.629777,1
95,Show_30,Fantasy,132,2025-05-24 12:45:59.629780,2
86,Show_16,Action,158,2024-12-31 12:45:59.629783,4
80,Show_45,Romance,5,2025-06-27 12:45:59.629786,5
11,Show_30,Comedy,20,2024-10-07 12:45:59.629789,2
98,Show_28,Horror,120,2024-08-01 12:45:59.629792,1
52,Show_11,Fantasy,96,2025-03-30 12:45:59.629795,5
19,Show_10,Comedy,87,2025-06-28 12:45:59.629798,1
91,Show_28,Fantasy,102,2025-02-26 12:45:59.629801,3
81,Show_6,Drama,87,2025-02-26 12:45:59.629804,1
70,Show_23,Drama,111,2024-07-22 12:45:59.629808,5
7,Show_48,Drama,30,2024-08-25 12:45:59.629815,1
1,Show_43,Action,177,2024-09-25 12:45:59.629817,1
2,Show_33,Action,164,2024-08-13 12:45:59.629819,3
81,Show_27,Thriller,42,2025-03-11 12:45:59.629820,4
65,Show_37,Action,65,2025-03-30 12:45:59.629822,5
9,Show_34,Sci-Fi,51,2024-10-10 12:45:59.629823,4
40,Show_40,Comedy,60,2025-06-08 12:45:59.629825,4
42,Show_17,Thriller,49,2024-12-06 12:45:59.629827,2
84,Show_38,Romance,25,2024-12-23 12:45:59.629828,5
82,Show_7,Romance,153,2024-11-09 12:45:59.629830,2
77,Show_17,Comedy,42,2025-01-03 12:45:59.629832,3
95,Show_38,Fantasy,74,2025-03-10 12:45:59.629833,3
100,Show_32,Romance,28,2024-11-26 12:45:59.629835,2
40,Show_2,Comedy,77,2025-02-08 12:45:59.629836,4
91,Show_20,Sci-Fi,86,2024-12-15 12:45:59.629838,1
3,Show_7,Fantasy,31,2024-09-04 12:45:59.629839,1
24,Show_3,Sci-Fi,127,2025-03-21 12:45:59.629841,4
16,Show_8,Horror,145,2024-08-21 12:45:59.629843,5
17,Show_38,Documentary,111,2025-05-10 12:45:59.629844,4
12,Show_47,Fantasy,109,2024-09-01 12:45:59.629846,1
26,Show_11,Romance,18,2024-08-30 12:45:59.629847,5
69,Show_23,Thriller,135,2024-08-28 12:45:59.629849,3
58,Show_27,Thriller,48,2024-10-07 12:45:59.629851,3
56,Show_36,Action,31,2025-05-18 12:45:59.629852,1
53,Show_47,Documentary,6,2024-10-06 12:45:59.629854,3
7,Show_24,Drama,9,2024-10-13 12:45:59.629856,2
92,Show_26,Action,149,2024-08-19 12:45:59.629857,4
100,Show_23,Documentary,43,2025-04-30 12:45:59.629859,1
63,Show_48,Action,97,2024-11-30 12:45:59.629860,4
96,Show_35,Drama,119,2024-10-23 12:45:59.629862,5
95,Show_3,Action,177,2025-01-28 12:45:59.629864,4
55,Show_35,Sci-Fi,90,2025-04-07 12:45:59.629866,2
67,Show_50,Comedy,91,2024-07-15 12:45:59.629867,5
89,Show_49,Thriller,171,2025-02-20 12:45:59.629869,4
48,Show_20,Comedy,10,2025-05-27 12:45:59.629871,1
80,Show_48,Romance,60,2024-08-19 12:45:59.629872,3
50,Show_47,Documentary,150,2025-02-14 12:45:59.629874,3
71,Show_9,Comedy,161,2025-03-19 12:45:59.629875,5
47,Show_47,Drama,91,2025-05-09 12:45:59.629877,2
62,Show_21,Drama,119,2025-03-04 12:45:59.629879,1
85,Show_48,Thriller,158,2024-12-11 12:45:59.629880,3
99,Show_32,Thriller,56,2025-05-03 12:45:59.629882,5
28,Show_13,Sci-Fi,71,2025-07-02 12:45:59.629885,5
94,Show_24,Comedy,6,2025-03-04 12:45:59.629888,3
41,Show_26,Thriller,175,2025-05-13 12:45:59.629891,3
36,Show_11,Drama,158,2024-08-25 12:45:59.629896,4
43,Show_9,Horror,52,2024-09-28 12:45:59.629899,3
25,Show_19,Drama,137,2025-03-08 12:45:59.629902,4
12,Show_37,Fantasy,154,2024-10-18 12:45:59.629906,4
2,Show_7,Comedy,90,2024-09-11 12:45:59.629908,4
11,Show_22,Thriller,72,2024-09-10 12:45:59.629910,3
86,Show_23,Romance,60,2024-11-16 12:45:59.629911,1
45,Show_8,Sci-Fi,49,2024-10-30 12:45:59.629913,3
1,Show_17,Drama,19,2025-03-25 12:45:59.629915,5
48,Show_25,Fantasy,111,2025-04-24 12:45:59.629916,5
76,Show_29,Documentary,71,2024-11-05 12:45:59.629918,1
24,Show_41,Romance,149,2024-12-31 12:45:59.629920,4
25,Show_16,Documentary,50,2025-06-30 12:45:59.629922,4
8,Show_20,Romance,104,2024-07-22 12:45:59.629924,5
62,Show_9,Action,15,2024-11-17 12:45:59.629927,5
48,Show_34,Documentary,45,2025-05-04 12:45:59.629931,5
74,Show_29,Horror,132,2025-01-18 12:45:59.629933,4
13,Show_33,Fantasy,107,2025-06-20 12:45:59.629936,4
60,Show_18,Romance,93,2025-05-15 12:45:59.629939,2
